source,target,weight
soldier,town,0.14743891710476278
home,camp,0.14725203740346657
air,enter,0.14721471438531603
guard,military-police,0.14699806734124987
rate,promotion,0.1468670505645811
branch,wrong,0.14648453087964114
soldier,morale,0.14635597246743856
bus,bad,0.14627295479464206
defense,home,0.14625716360576724
family,home,0.14625716360576724
wast,qualify,0.1460841613650848
people,pay,0.14601142834035227
eat,poor,0.1460033694892227
branch,infantry,0.14587665483717333
camp,town,0.14554620916682687
train,army,0.1455359636917924
negro,live,0.145520153252751
ability,outfit,0.1454478292517557
life,live,0.1448538873921246
color,fight,0.14480027315893013
nation,unit,0.14451340806295654
army,lot,0.14447898943565807
sgt,fair,0.14437221621435836
outfit,duty,0.14425299715262138
time,inspect,0.14422509069579703
month,army,0.14410718044199655
educate,person,0.14406086587401212
office,experi,0.14329523350936885
mechanic,infantry,0.14324810985755262
mechanic,tell,0.14324810985755262
drill,call,0.14315344497247823
day,night,0.14313040775444208
system,morale,0.14310465209759962
learn,pick,0.14264174487222966
opportunity,qualify,0.14244108492663404
close,soldier,0.14241136393753284
service,physical,0.1423812602389715
enlist,equal,0.1422508587500117
soldier,idea,0.1421046510896031
rate,outfit,0.14199519747458872
army,rate,0.14194760611764293
opinion,test,0.1419316782760564
time,soldier,0.14185781709537776
corp,physical,0.1417321802676415
air,physical,0.1417321802676415
war,job,0.14169979453740142
promotion,polit,0.1416469465549423
week,soldier,0.14149314624773743
war,freedom,0.14115308885873307
army,feel,0.14109006991883172
guard,experi,0.14106660727646872
civilian,effort,0.14106069910324
service,enter,0.1409933324646427
company,run,0.14095933160724797
camp,send,0.14022994204063502
war,civilian,0.13992426877630199
limit,duty,0.1397419802115389
limit,guard,0.13973715933956252
send,tell,0.13973715933956252
corp,limit,0.13969549947053847
job,experi,0.13948454382684333
war,life,0.139250197644715
ability,poor,0.13918025931296624
win,fight,0.13908690783782057
money,country,0.1389417825615578
transfer,outfit,0.13858838770773096
promotion,test,0.1383356276659714
army,experi,0.13832148281361517
army,test,0.1380925601571692
army,mind,0.1380925601571692
