source,target,weight,group
fight,country,0.19399503284691183,white
black-man,fight,0.19391472754994066,black
east,north,0.19383268746107252,black
day,inspect,0.19357179677682745,white
pass,time,0.1933380954138544,white
sick,hospital,0.1930933175577199,black
branch,qualify,0.19271440236487866,black
war,people,0.19224407849078445,black
civilian,trade,0.19209171714098533,white
furlough,home,0.19202246770496081,black
home,station,0.1919930567742997,white
speech,discrimination,0.19189046622773404,black
war,effort,0.1908296810630504,white
promotion,ability,0.19075129971851792,white
police,kill,0.19074199953273763,black
speech,free,0.1898622992199852,black
school,rate,0.18976463317624753,white
job,army,0.1891362186602253,black
medic,care,0.18884151212747377,black
die,live,0.1886974804891965,black
school,experi,0.18842085670795283,white
pass,inspect,0.18840895121502663,white
office,rank,0.1882131717324156,black
bus,poor,0.18819521556244173,black
branch,transfer,0.18806354776047543,white
trade,learn,0.18784503536354125,white
west,north,0.1877409685105462,black
physical,combat,0.18755580509321843,white
train,time,0.1874400471423088,white
air,fly,0.18694771751549477,black
fight,life,0.18693123509381787,black
pass,camp,0.18554901402621707,white
country,live,0.18527027819959185,black
mechanic,school,0.18522727387867888,black
age,discharge,0.185207960844852,black
war,race,0.1851856038474663,black
people,stop,0.18511813640134656,black
army,soldier,0.18502651279006976,white
south,camp,0.18480531344706855,black
war,country,0.1845685458420299,white
family,home,0.1842444095479209,black
home,soldier,0.18376979795331685,white
war,job,0.18367967501455076,black
money,pay,0.1835577695978809,white
train,week,0.18354278220428627,white
promotion,chance,0.18348273341616936,white
captain,lieutenant,0.18339267110588803,black
color,black-man,0.18328192231854684,black
fight,die,0.18309428175918002,black
equal,class,0.18291391289611936,white
military-police,trouble,0.18291391289611936,white
south,color,0.18235813755134533,black
command,office,0.18233024422221714,black
furlough,week,0.18220134604077243,white
divide,hous,0.1821764803382636,black
blood,nation,0.18217436149207375,black
war,govern,0.1817377739303979,white
chance,fair,0.18152283919004575,black
seat,theater,0.18090678231221324,black
close,send,0.1808826808063355,white
town,pass,0.1808795387267483,black
white,fight,0.18071980076983507,white
week,time,0.18041682672431417,white
black-man,camp,0.18030463800805327,black
furlough,pass,0.18001919807584305,black
fight,realize,0.1799919006956811,white
citizen,unit,0.1799411550208298,black
race,live,0.17988646895468183,black
promotion,ability,0.17986548643632475,black
life,country,0.17976920456081658,black
experi,world,0.17928969444034593,white
divide,forget,0.1782635841990882,black
land,forget,0.1782635841990882,black
singl,draft,0.17779523432494215,white
god,love,0.1777892492425092,black
combat,train,0.17775213470467424,black
white,white-man,0.1776025554973914,black
washington,start,0.17758916412563064,black
opinion,idea,0.17752777014898455,white
white,bus,0.17727116453776734,black
white,country,0.17696422663076516,black
negro,equal,0.17688865401126874,white
promotion,person,0.17687441523591285,white
country,unit,0.1768432108154641,black
bus,wait,0.17645729193195417,black
fight,race,0.17625727592274257,black
rate,mechanic,0.17611280601004944,black
uniform,proud,0.1759267867085188,black
south,soldier,0.17588774233056884,black
negro,treat,0.1758415475655583,black
service,bus,0.17582011499684932,white
north,station,0.17569049031158782,black
day,close,0.17568926217194156,white
color,treat,0.17520200808087477,white
negro,black-man,0.17517346621032745,black
treat,soldier,0.17513982859629237,black
war,hope,0.1751316741298169,white
south,fight,0.17493369758695027,black
marry,home,0.1748636491377333,white
office,army,0.17463423381143506,white
god,blood,0.17437856956890113,black
office,division,0.17437614755644532,black
home,army,0.17384319083798225,white
school,field,0.17345942172305165,white
rate,private,0.17298669611704715,white
front,oversea,0.17272705597907337,black
front,sign,0.17272705597907337,black
police,paper,0.17270125193204874,black
chance,prove,0.1726794002758755,black
rank,ability,0.17259773876628604,black
bus,black-man,0.1724370715287379,black
win,fight,0.17238948107244928,black
camp,time,0.17231429955654834,black
lose,combat,0.17189036570597094,white
fair,deal,0.17188579810552065,black
negro,privilege,0.17187438806671046,white
sick,medic,0.1713425316779908,black
job,handl,0.1710290362174402,white
south,separate,0.17061019299615773,white
outfit,cloth,0.17034852760595295,white
post-exchange,separate,0.17024480523487107,black
white,soldier,0.17023039510357912,black
sit,seat,0.17015031261604902,black
commissioned,command,0.17009404880751644,white
right,fight,0.17003909050794408,black
color,equal,0.1699654185298629,white
color,class,0.1699654185298629,white
office,noncom,0.16993134624727876,black
commissioned,pick,0.16975851338630088,white
war,chance,0.16963927638492307,black
qualify,experi,0.16891765387256014,white
physical,condition,0.16859328138877747,white
day,time,0.16823119369296138,white
day,week,0.16816420170494384,white
south,office,0.16806675429866488,black
home,time,0.16794999316273637,white
creed,land,0.1677847060891964,black
blood,past,0.1677847060891964,black
south,lynch,0.16752848493897687,black
bus,camp,0.1674637116497117,black
negro,fight,0.16728785664999818,white
rank,allow,0.16707675964249122,black
soldier,time,0.16699491292800378,black
month,combat,0.16690988508353635,white
military-police,town,0.16671687523730117,white
white,separate,0.1664049506921813,black
job,chance,0.16634696960944326,white
war,army,0.16631704780363193,white
office,school,0.16608532668120646,white
race,country,0.16596688837739926,black
country,love,0.1657124403491509,black
race,separate,0.16521412688652937,white
freedom,country,0.16511785367431903,black
fight,democracy,0.16486598639805697,black
corp,satisfy,0.1647036085164412,white
life,live,0.16457910683296215,black
love,hate,0.16442255557641103,black
practice,troop,0.1644086290883599,black
month,home,0.16440753688619206,black
guard,outfit,0.1643215564992479,white
country,feel,0.16429641990976934,black
war,unit,0.16412666808671963,black
citizen,share,0.16348357293048804,black
chance,fair,0.16340031368425983,white
wife,worry,0.16338888297316062,black
corp,fly,0.16335584825899827,black
live,happy,0.1631161924146611,black
north,send,0.16292418581134005,black
army,satisfy,0.16286258261641384,white
branch,enlist,0.16285823696334278,black
negro,color,0.16274203818973076,white
wife,home,0.16228725363994573,white
country,die,0.16226334924470112,black
captain,promotion,0.16222090495949418,black
job,hold,0.16216746980120014,white
day,sundai,0.16206376046273993,black
equal,democracy,0.16199984373567025,black
god,stop,0.16197864478850701,black
command,company,0.16181114784068446,white
job,fit,0.16163174143255568,white
negro,unit,0.16161298213622766,black
war,right,0.1616079236052628,black
equal,social,0.16135286121181028,black
war,people,0.16133917284147065,white
limit,job,0.16129212562917586,white
pray,love,0.16116022534245827,black
defense,yr,0.16109927471647983,white
people,live,0.1609821093160288,white
camp,transport,0.16088186450155675,black
paper,return,0.16072842438638163,black
combat,duty,0.1606908960248499,black
child,draft,0.16065814481180107,white
guard,draft,0.16065814481180107,white
white,equal,0.16063857870777348,black
return,write,0.16044682858321463,black
civilian,country,0.16043392618711635,white
fight,treat,0.15995152654523434,black
mechanic,experi,0.1599387348554641,white
basic,furlough,0.15987432649298783,white
north,white,0.15980992577917685,black
lynch,law,0.15962542198654545,black
win,country,0.1595883272789724,black
spend,take,0.15925451432283783,black
office,run,0.1591911828694829,white
week,close,0.15912538332873247,white
service,job,0.15907695589805393,white
german,enemies,0.15883315337917234,black
air,transfer,0.15879108344859189,white
office,troop,0.1587548458565759,black
people,fight,0.15867511500899434,white
people,equal,0.1585937844612921,white
south,people,0.15853943481713478,white
commissioned,rate,0.15851267817859077,white
democracy,receive,0.1583307014977267,black
transfer,job,0.15828069683067325,white
time,job,0.15817583536593355,white
return,expect,0.1581087575689041,black
treat,fair,0.15801235877181646,black
capable,leader,0.15762911643911395,black
promotion,choose,0.15762911643911395,black
oversea,past,0.15762911643911395,black
office,treat,0.15754402511056517,white
condition,live,0.1573937098972733,white
commissioned,ability,0.15730907993050464,white
war,white-man,0.1570923164064722,black
citizen,law,0.15693762157220295,black
citizen,receive,0.15693762157220295,black
race,future,0.1568674207744648,black
realize,yr,0.15686390124304347,white
yr,age,0.15686390124304347,white
black-man,office,0.15674287417410174,black
army,ability,0.15656819067347774,white
commissioned,noncom,0.15642009957136438,black
lieutenant,division,0.15625478249528593,black
month,school,0.15616795946082346,white
country,serve,0.15564157493115294,white
army,outfit,0.15553276323459264,white
soldier,train,0.15541295641352412,black
wait,ship,0.15533755661619209,white
pick,infantry,0.15533755661619209,white
train,physical,0.15531843696656011,white
office,field,0.15518464298485993,white
transport,practice,0.15498349094638708,black
south,call,0.15497345969844845,black
combat,duty,0.15488038939753304,white
office,noncom,0.15463330474657894,white
negro,north,0.1546120200559651,white
damn,god,0.15460984313537002,black
camp,soldier,0.15448838350898023,white
condition,unit,0.15446258813320693,white
office,promotion,0.15430764033864758,black
hope,live,0.15406731233211216,black
combat,outfit,0.15349910817304016,black
enlist,job,0.15342781001210828,white
south,treat,0.15331103566770013,white
pass,mile,0.15307834787207272,black
train,lose,0.15294070070804694,white
war,peace,0.15277778060619002,white
soldier,home,0.15267429807971092,black
day,tell,0.15261721122933997,white
field,enlist,0.1524753173697179,black
true,real,0.1523603627015021,black
uniform,democracy,0.1522690891683025,black
right,citizen,0.15225147324512084,black
war,army,0.1522288222490844,black
negro,live,0.15222815756507627,black
camp,bus,0.1522220739514011,white
educate,experi,0.15205842225540928,white
corp,service,0.15204196464647918,white
treat,bad,0.15202953042542888,black
combat,unit,0.1520239756700156,white
job,feel,0.1519365873849341,white
soldier,feel,0.15177036123953921,black
realize,hard,0.15174220446684267,white
